Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,65,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Con1Norm,Con2Norm,1Fam,2Story,7,5,YearBuild_2003,YearRemodAdd_2003,Gable,CompShg,Ext1_VinylSd,Ext2_VinylSd,BrkFace,196,ExtQual_Gd,ExtCond_TA,PConc,BsmtQual_Gd,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_GLQ,706,BsmtFinTyp2_Unf,0,150,856,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,KitchenQual_Gd,8,Typ,0,FireplaceQual_NA,Attchd,GarageYrBlt_2003,RFn,2,548,GarageQual_TA,GarageCond_TA,PavedDrive_Y,0,61,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,2,YrSold_2008,WD,Normal,208500
2,20,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Con1Feedr,Con2Norm,1Fam,1Story,6,8,YearBuild_1976,YearRemodAdd_1976,Gable,CompShg,Ext1_MetalSd,Ext2_MetalSd,None,0,ExtQual_TA,ExtCond_TA,CBlock,BsmtQual_Gd,BsmtCond_TA,BsmtExpo_Gd,BsmtFinTyp1_ALQ,978,BsmtFinTyp2_Unf,0,284,1262,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,KitchenQual_TA,6,Typ,1,FireplaceQual_TA,Attchd,GarageYrBlt_1976,RFn,2,460,GarageQual_TA,GarageCond_TA,PavedDrive_Y,298,0,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,5,YrSold_2007,WD,Normal,181500
3,60,RL,68,11250,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Con1Norm,Con2Norm,1Fam,2Story,7,5,YearBuild_2001,YearRemodAdd_2002,Gable,CompShg,Ext1_VinylSd,Ext2_VinylSd,BrkFace,162,ExtQual_Gd,ExtCond_TA,PConc,BsmtQual_Gd,BsmtCond_TA,BsmtExpo_Mn,BsmtFinTyp1_GLQ,486,BsmtFinTyp2_Unf,0,434,920,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,KitchenQual_Gd,6,Typ,1,FireplaceQual_TA,Attchd,GarageYrBlt_2001,RFn,2,608,GarageQual_TA,GarageCond_TA,PavedDrive_Y,0,42,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,9,YrSold_2008,WD,Normal,223500
4,70,RL,60,9550,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Con1Norm,Con2Norm,1Fam,2Story,7,5,YearBuild_1915,YearRemodAdd_1970,Gable,CompShg,Ext1_Wd Sdng,Ext2_Wd Shng,None,0,ExtQual_TA,ExtCond_Gd,BrkTil,BsmtQual_TA,BsmtCond_Gd,BsmtExpo_No,BsmtFinTyp1_ALQ,216,BsmtFinTyp2_Unf,0,540,756,HeatTyp_GasA,HeatQC_Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,KitchenQual_Gd,7,Typ,1,FireplaceQual_Gd,Detchd,GarageYrBlt_1998,Unf,3,642,GarageQual_TA,GarageCond_TA,PavedDrive_Y,0,35,272,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,2,YrSold_2006,WD,Abnorml,140000
5,60,RL,84,14260,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Con1Norm,Con2Norm,1Fam,2Story,8,5,YearBuild_2000,YearRemodAdd_2000,Gable,CompShg,Ext1_VinylSd,Ext2_VinylSd,BrkFace,350,ExtQual_Gd,ExtCond_TA,PConc,BsmtQual_Gd,BsmtCond_TA,BsmtExpo_Av,BsmtFinTyp1_GLQ,655,BsmtFinTyp2_Unf,0,490,1145,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,KitchenQual_Gd,9,Typ,1,FireplaceQual_TA,Attchd,GarageYrBlt_2000,RFn,3,836,GarageQual_TA,GarageCond_TA,PavedDrive_Y,192,84,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,12,YrSold_2008,WD,Normal,250000
6,50,RL,85,14115,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Con1Norm,Con2Norm,1Fam,1.5Fin,5,5,YearBuild_1993,YearRemodAdd_1995,Gable,CompShg,Ext1_VinylSd,Ext2_VinylSd,None,0,ExtQual_TA,ExtCond_TA,Wood,BsmtQual_Gd,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_GLQ,732,BsmtFinTyp2_Unf,0,64,796,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,KitchenQual_TA,5,Typ,0,FireplaceQual_NA,Attchd,GarageYrBlt_1993,Unf,2,480,GarageQual_TA,GarageCond_TA,PavedDrive_Y,40,30,0,320,0,0,PoolQC_NA,Fence_MnPrv,MisFeature_Shed,700,10,YrSold_2009,WD,Normal,143000
7,20,RL,75,10084,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Con1Norm,Con2Norm,1Fam,1Story,8,5,YearBuild_2004,YearRemodAdd_2005,Gable,CompShg,Ext1_VinylSd,Ext2_VinylSd,Stone,186,ExtQual_Gd,ExtCond_TA,PConc,BsmtQual_Ex,BsmtCond_TA,BsmtExpo_Av,BsmtFinTyp1_GLQ,1369,BsmtFinTyp2_Unf,0,317,1686,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,KitchenQual_Gd,7,Typ,1,FireplaceQual_Gd,Attchd,GarageYrBlt_2004,RFn,2,636,GarageQual_TA,GarageCond_TA,PavedDrive_Y,255,57,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,8,YrSold_2007,WD,Normal,307000
8,60,RL,NA,10382,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,Con1PosN,Con2Norm,1Fam,2Story,7,6,YearBuild_1973,YearRemodAdd_1973,Gable,CompShg,Ext1_HdBoard,Ext2_HdBoard,Stone,240,ExtQual_TA,ExtCond_TA,CBlock,BsmtQual_Gd,BsmtCond_TA,BsmtExpo_Mn,BsmtFinTyp1_ALQ,859,BsmtFinTyp2_BLQ,32,216,1107,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,KitchenQual_TA,7,Typ,2,FireplaceQual_TA,Attchd,GarageYrBlt_1973,RFn,2,484,GarageQual_TA,GarageCond_TA,PavedDrive_Y,235,204,228,0,0,0,PoolQC_NA,Fence_NA,MisFeature_Shed,350,11,YrSold_2009,WD,Normal,200000
9,50,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Con1Artery,Con2Norm,1Fam,1.5Fin,7,5,YearBuild_1931,YearRemodAdd_1950,Gable,CompShg,Ext1_BrkFace,Ext2_Wd Shng,None,0,ExtQual_TA,ExtCond_TA,BrkTil,BsmtQual_TA,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_Unf,0,BsmtFinTyp2_Unf,0,952,952,HeatTyp_GasA,HeatQC_Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,KitchenQual_TA,8,Min1,2,FireplaceQual_TA,Detchd,GarageYrBlt_1931,Unf,2,468,GarageQual_Fa,GarageCond_TA,PavedDrive_Y,90,0,205,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,4,YrSold_2008,WD,Abnorml,129900
10,190,RL,50,7420,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Con1Artery,Con2Artery,2fmCon,1.5Unf,5,6,YearBuild_1939,YearRemodAdd_1950,Gable,CompShg,Ext1_MetalSd,Ext2_MetalSd,None,0,ExtQual_TA,ExtCond_TA,BrkTil,BsmtQual_TA,BsmtCond_TA,BsmtExpo_No,BsmtFinTyp1_GLQ,851,BsmtFinTyp2_Unf,0,140,991,HeatTyp_GasA,HeatQC_Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,KitchenQual_TA,5,Typ,2,FireplaceQual_TA,Attchd,GarageYrBlt_1939,RFn,1,205,GarageQual_Gd,GarageCond_TA,PavedDrive_Y,0,4,0,0,0,0,PoolQC_NA,Fence_NA,MisFeature_NA,0,1,YrSold_2008,WD,Normal,118000
